q(A^-1)  I_calc
8.359743499999999078e-03 -1.048575274600967350e+04
9.195717799999999359e-03 -1.044009124410289587e+04
1.003169200000000004e-02 -1.039442974765818872e+04
1.086766700000000099e-02 -1.034876820751692321e+04
1.170364099999999900e-02 -1.030310672199635701e+04
1.253961500000000048e-02 -1.025744523647579081e+04
1.337559000000000144e-02 -1.021178369633452348e+04
1.421156399999999945e-02 -1.016612221081395910e+04
1.504753799999999919e-02 -1.012046072529339290e+04
1.588351299999999841e-02 -1.007479918515212557e+04
1.671948699999999816e-02 -1.002913769963155937e+04
1.755546100000000137e-02 -9.983476214110994988e+03
1.839143600000000059e-02 -9.937814673969727664e+03
1.922741000000000033e-02 -9.892153188449161462e+03
2.006338400000000008e-02 -9.846491702928593440e+03
2.089935899999999930e-02 -9.800830162787327936e+03
2.173533300000000251e-02 -9.755168677266761733e+03
2.257130699999999879e-02 -9.709507191746195531e+03
2.340728199999999801e-02 -9.663845651604928207e+03
2.424325599999999775e-02 -9.618184166084362005e+03
2.507923000000000097e-02 -9.572522680563797621e+03
2.591520500000000365e-02 -9.526861140422530298e+03
2.675117900000000340e-02 -9.481199654901964095e+03
2.758715299999999621e-02 -9.435538169381397893e+03
2.842312799999999889e-02 -9.389876629240130569e+03
2.925910199999999864e-02 -9.344215143719566186e+03
3.009507599999999838e-02 -9.298553658198999983e+03
3.093105099999999760e-02 -9.252892118057732660e+03
3.176702499999999735e-02 -9.207230632537166457e+03
3.260300000000000004e-02 -9.161569092395900952e+03
3.343897399999999631e-02 -9.115907606875334750e+03
3.427494799999999953e-02 -9.070246121354766728e+03
3.511092300000000221e-02 -9.024584581213499405e+03
3.594689699999999849e-02 -8.978923095692933202e+03
3.678287100000000170e-02 -8.933261610172368819e+03
3.761884599999999745e-02 -8.887600070031101495e+03
3.845482000000000067e-02 -8.841938584510535293e+03
3.929079400000000388e-02 -8.796277098989969090e+03
