q(A^-1)  I_calc
8.359743499999999078e-03 6.397657726299561182e+04
9.195717799999999359e-03 6.371691237518173875e+04
1.003169200000000004e-02 6.345724751842921978e+04
1.086766700000000099e-02 6.319758241318591172e+04
1.170364099999999900e-02 6.293791761855608638e+04
1.253961500000000048e-02 6.267825282392625377e+04
1.337559000000000144e-02 6.241858771868295298e+04
1.421156399999999945e-02 6.215892292405312037e+04
1.504753799999999919e-02 6.189925812942330958e+04
1.588351299999999841e-02 6.163959302418000152e+04
1.671948699999999816e-02 6.137992822955017618e+04
1.755546100000000137e-02 6.112026343492034357e+04
1.839143600000000059e-02 6.086059832967704278e+04
1.922741000000000033e-02 6.060093353504721017e+04
2.006338400000000008e-02 6.034126874041738483e+04
2.089935899999999930e-02 6.008160363517407677e+04
2.173533300000000251e-02 5.982193884054425143e+04
2.257130699999999879e-02 5.956227404591443337e+04
2.340728199999999801e-02 5.930260894067112531e+04
2.424325599999999775e-02 5.904294414604129997e+04
2.507923000000000097e-02 5.878327935141147464e+04
2.591520500000000365e-02 5.852361424616816657e+04
2.675117900000000340e-02 5.826394945153834124e+04
2.758715299999999621e-02 5.800428465690851590e+04
2.842312799999999889e-02 5.774461955166520784e+04
2.925910199999999864e-02 5.748495475703538250e+04
3.009507599999999838e-02 5.722528996240556444e+04
3.093105099999999760e-02 5.696562485716224910e+04
3.176702499999999735e-02 5.670596006253243104e+04
3.260300000000000004e-02 5.644629495728912298e+04
3.343897399999999631e-02 5.618663016265929764e+04
3.427494799999999953e-02 5.592696536802947230e+04
3.511092300000000221e-02 5.566730026278616424e+04
3.594689699999999849e-02 5.540763546815633890e+04
3.678287100000000170e-02 5.514797067352651356e+04
3.761884599999999745e-02 5.488830556828320550e+04
3.845482000000000067e-02 5.462864077365338744e+04
3.929079400000000388e-02 5.436897597902355483e+04
